Cluster ID,Link Score,source file,id,name,addr,city,ctry,code
12,0.9883905,0,1,1 MOBILE LIMITED,30 CITY ROAD,LONDON,UK,EC1Y 2AB
23,0.9757093,0,2,1 TECH LTD,57 CHARTERHOUSE STREET,LONDON,UK,EC1M 6HA
20,0.9778507,0,3,23 SNAPS LIMITED,16 BOWLING GREEN LANE,LONDON,UK,EC1R 0BD
14,0.9873788,0,4,2E2 SERVICES LIMITED,200 200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
9,0.9883905,0,5,2E2 UK LIMITED,200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
48,0.8544338,0,6,40 50 MEDIA LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
32,0.95036256,0,7,4D DATA CENTRES LIMITED,30 CITY ROAD,LONDON,UK,EC1 2AB
60,,0,8,4GETMOBILE LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
28,0.9603413,0,9,4SL CONSULTING LIMITED,4 SNOW HILL ,LONDON,UK,EC1A 2DJ
5,0.9883905,0,10,4TC SERVICES LIMITED,355 GOSWELL ROAD ,LONDON,UK,EC1V 7JL
61,,0,11,A-INFINITY LIMITED,"AKIN PALMER LLP 3, ANGEL GATE 326 CITY ROAD",LONDON,UK,EC1V 2PT
45,0.87481594,0,12,A-TEK SOLUTIONS LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
53,0.78452414,0,13,A.I. TALENT LTD,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
26,0.970473,0,14,AAA CONSULT LTD,2ND FLOOR 145-157 ST. JOHN STREET,LONDON,UK,EC1V 4PY
25,0.97285366,0,15,AARDVARK UPRISING LIMITED,UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
62,,0,16,AB TECHSYS LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
38,0.9348475,0,17,ABLINX LIMITED,"7TH FLOOR, 16 ST. MARTIN'S LE GRAND",LONDON,UK,EC1A 4EE
63,,0,18,ABSU LIMITED,THIRD FLOOR 111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
52,0.8159416,0,19,ABV SOLUTIONS LTD,C/O CAYOS CONSULTING SERVICES 40 BOWLING GREEN LANE,LONDON,UK,EC1R 0NE
57,0.6524902,0,20,ACTION FOR THE FUTURE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
59,0.6064909,0,21,ACTIVATED THINKING LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
64,,0,22,ACTIVON PROJECTS LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,CITY OF LONDON|LONDON,UK,EC1A 2BN
65,,0,23,ACTURIS LIMITED,COURTYARD SUITE 100 HATTON GARDEN,LONDON,UK,EC1N 8NX
27,0.9681892,0,24,AD PEPPER MEDIA UK LIMITED,20 FARRINGDON ROAD ,LONDON,UK,EC1M 3HE
18,0.9860561,0,25,ADCOMPASS LTD.,6-8 SYCAMORE STREET ,LONDON,UK,EC1Y 0SW
58,0.64252216,0,26,ADD TO CART LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
47,0.85622835,0,27,ADFORM LONDON LIMITED,GATE HOUSE 1 ST JOHN'S SQUARE,LONDON,UK,EC1M 4DH
42,0.89547694,0,28,ADLUDIO LIMITED,1 HARDWICK STREET HARDWICK STREET,LONDON,UK,EC1R 4RB
66,,0,29,AFIN-IT GROUP LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
54,0.77142525,0,30,AFTER THE FLOOD LIMITED,140-142 ST. JOHN STREET ,LONDON,UK,EC1V 4UB
67,,0,31,AGILE ALLIANCE LIMITED,24 INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
24,0.9728984,0,32,AGM SOLUTIONS LIMITED,152 KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
68,,0,33,AGOC DIGITAL PRIVATE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
69,,0,34,AI CONTROLPOINT LIMITED,LONGBOW HOUSE CHISWELL STREET,LONDON,UK,EC1Y 4TW
70,,0,35,AIM ITC LTD,UNIT/OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
34,0.9473373,0,36,ALCHEMYWORKS LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
71,,0,37,ALCHERA TECHNOLOGIES LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT CITY OF LONDON,LONDON,UK,EC1A 2BN
55,0.7337996,0,38,ALMARADIX LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
11,0.9883905,0,39,ALTIASERVICES LTD.,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
10,0.9883905,0,40,ALTIATECH LTD,152 CITY ROAD ,LONDON,UK,EC1V 2NX
15,0.98647034,0,41,AM TECHNICAL LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
37,0.9447019,0,42,AMBIENCE INVESTMENT LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
4,0.99173063,0,43,AMISSION LTD,LANDON SEAMER 335 CITY ROAD,LONDON,UK,EC1V 1LJ
13,0.98804003,0,44,AMLEU SOFTWARE DEVELOPMENT UK LIMITED,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
30,0.9577851,0,45,ANGELLIST LIMITED,2ND FLOOR WHITE BEAR YARD CLERKENWELL ROAD,LONDON,UK,EC1R 5DF
